Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Praia de Botafogo,Botafogo,2.406,3.192,55,2,1,1.0,0
Apartamento,Avenida Nossa Senhora de Copacabana,Copacabana,2.254,2.954,30,1,1,0.0,1
Casa,Rua da Abolição,Abolição,1.1,1.147,45,1,1,0.0,0
Apartamento,Rua Clarimundo de Melo,Encantado,942.0,1.039,50,2,1,0.0,0
Apartamento,Rua Soldado Péricles Leal Bezerra,Anil,1.0,1.038,30,1,1,1.0,0
Apartamento,Rua Cardeal Dom Sebastião Leme,Santa Teresa,1.5,2.003,50,2,1,1.0,0
Apartamento,Rua Álvaro Antônio Sauka,Olaria,1.0,1.138,49,2,1,0.0,0
Casa,Rua Alfredo Pujol,Grajaú,1.2,1.252,41,1,1,0.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1.502,2.103,50,2,1,1.0,0
Casa,Rua Acapu,Marechal Hermes,1.1,1.147,56,2,1,0.0,0
Casa,Rua do Queimado,Bento Ribeiro,1.132,1.18,73,2,2,1.0,0
Casa,Rua Alfredo Pujol,Grajau,1.114,1.22,40,1,1,0.0,0
Apartamento,Rua Heráclito Graça,Lins de Vasconcelos,700.0,1.111,74,2,1,1.0,0
Studio e kitnet,Rua dos Oitis,Gávea,2.1,2.212,30,1,1,0.0,0
Studio e kitnet,Rua Djalma Ulrich,Copacabana,2.197,2.824,32,1,1,0.0,1
Apartamento,Travessa Pepe,Botafogo,3.839,4.412,85,3,2,1.0,0
Apartamento,Rua Herveira,Curicica,1.1,1.208,40,2,1,0.0,0
Casa,Rua Angelina,Encantado,650.0,677.0,38,1,1,0.0,0
Apartamento,Rua Araújo Leitão,Engenho Novo,1.25,1.619,55,2,1,0.0,0
Studio e kitnet,Rua dos Oitis,Gávea,2.25,2.367,25,1,1,0.0,0
Apartamento,Rua Guarani,Quintino Bocaiúva,530.0,987.0,40,1,1,1.0,0
Apartamento,Rua Barra Bonita,Jacarepaguá,1.9,2.574,58,2,2,1.0,0
Apartamento,Rua General Polidoro,Botafogo,2.739,3.906,65,1,1,0.0,0
Apartamento,Rua Franz Liszt,Jardim America,650.0,675.0,50,1,1,0.0,0
Apartamento,Rua Santo Amaro,Glória,1.5,1.948,36,1,1,0.0,0
Apartamento,Rua Ubaldino do Amaral,Centro,1.373,1.921,31,1,1,0.0,1
Apartamento,Rua Dom Casmurro,Anil,1.15,1.194,52,1,1,0.0,0
Apartamento,Rua Cândido Gaffrée,Urca,3.7,4.722,85,2,2,0.0,0
Apartamento,Avenida Nossa Senhora de Copacabana,Copacabana,2.392,3.176,21,1,1,0.0,1
Apartamento,Rua Riachuelo,Centro,1.7,2.246,15,1,1,0.0,1
Apartamento,Rua Miguel Fernandes,Cachambi,850.0,1.283,49,2,1,1.0,0
Studio e kitnet,Rua das Marrecas,Centro,707.0,1.171,21,1,1,0.0,0
Apartamento,Rua Bambina,Botafogo,3.329,5.01,83,3,2,1.0,0
Casa,Rua da Abolição,Abolição,980.0,1.022,45,1,1,0.0,0
Apartamento,Estrada dos Bandeirantes,Curicica,2.1,3.107,63,3,2,1.0,0
Apartamento,Rua República do Líbano,Centro,600.0,1.149,15,0,1,0.0,0
Casa,Rua Ana Neri,Rocha,1.15,1.216,58,1,2,0.0,0
Apartamento,Rua Conselheiro Zenha,Tijuca,1.551,2.051,40,1,1,0.0,0
Apartamento,Rua Barão de Itambi,Botafogo,3.55,4.606,86,2,2,1.0,0
Casa,Rua Visconde de Itabaiana,Engenho Novo,1.25,1.296,70,2,2,0.0,0
Apartamento,Rua Maia Lacerda,Estácio,1.497,1.995,55,1,1,0.0,0
Apartamento,Avenida Brasil,Irajá,900.0,1.201,44,2,1,1.0,0
Apartamento,Rua Engenheiro Thomaz Guimarães,Cachambi,1.5,1.708,79,3,1,0.0,0
Apartamento,Rua Fernandes Valdez,Higienópolis,993.0,1.031,45,1,1,1.0,0
Apartamento,Rua General Caldwell,Centro,1.4,1.456,44,1,1,0.0,0
Studio e kitnet,Avenida Nossa Senhora de Copacabana,Copacabana,2.302,3.032,50,1,1,0.0,1
Apartamento,Rua Jorge Gonçalves de Araújo,Olaria,1.1,1.293,55,2,1,1.0,0
Casa em condomínio,Rua Silva Teles,Andaraí,1.884,2.055,59,2,1,0.0,0
Studio e kitnet,Rua São Clemente,Botafogo,2.0,2.575,24,1,1,0.0,0
Apartamento,Estrada do Cafundá,Taquara,700.0,1.166,40,1,1,1.0,0
Apartamento,"Rua Mendes Taváres, 94 - Vila Isabel, Rio de Janeiro - Rj, Brasil",Vila Isabel,2.073,2.195,89,3,2,0.0,0
Apartamento,Rua Araújo Leitão,Engenho Novo,1.195,2.042,70,3,1,1.0,0
Apartamento,Rua Artur Orlando,Pechincha,1.2,1.407,43,2,1,1.0,0
Apartamento,Rua Uruguai,Tijuca,2.2,2.715,92,3,2,0.0,0
Apartamento,Rua Paula Freitas,Copacabana,2.976,3.516,45,1,2,0.0,1
Apartamento,Rua Carlos Xavier,Oswaldo Cruz,1.3,1.35,55,3,2,0.0,0
Apartamento,Rua dos Araújos,Tijuca,1.8,2.212,70,2,1,1.0,1
Casa,Rua da Abolição,Abolição,1.01,1.053,42,1,1,0.0,0
Casa,Rua Capitão Cruz,Cordovil,1.144,1.193,70,2,1,0.0,0
Casa,Rua Faria Braga 15 A,São Cristóvão,1.1,1.202,52,1,1,0.0,0
Apartamento,Rua Belisário Távora,Laranjeiras,3.3,4.787,86,2,2,1.0,0
Apartamento,R. Lins de Vasconcelos,Lins de Vasconcelos,750.0,1.079,45,1,2,0.0,0
Apartamento,Rua Romero Zander,Ramos,857.0,965.0,40,1,1,1.0,0
Apartamento,Rua André Rocha,Taquara,1.0,1.477,42,2,1,1.0,0
Apartamento,Travessa Caruaru,Grajaú,1.6,2.081,71,2,1,0.0,0
Casa,Rua Guaiba,Brás de Pina,1.0,1.05,70,2,1,0.0,0
Apartamento,Estrada Paulo de Medeiros,Água Santa,780.0,1.071,44,2,1,0.0,0
Apartamento,Rua Conselheiro Paranaguá,Vila Isabel,1.51,1.715,55,2,1,0.0,0
Apartamento,Avenida Tenente-coronel Muniz de Aragão,Anil,1.349,1.821,49,2,1,1.0,0
Apartamento,Rua Senador Vergueiro,Flamengo,3.6,4.679,83,2,2,0.0,0
Apartamento,Praça Vereador Rocha Leão,Copacabana,1.8,2.706,44,1,1,0.0,0
Apartamento,Rua Fernão Cardim,Cachambi,1.4,2.048,49,2,1,1.0,0
Apartamento,Rua Aquidabã,Méier,990.0,1.318,60,1,1,1.0,0
Casa em condomínio,Rua do Couto,Penha,1.162,1.572,56,2,1,1.0,0
