Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua Álvaro Antônio Sauka,Olaria,1000,1138,49,2,1,0.0,0
Casa,Rua Alfredo Pujol,Grajaú,1200,1252,41,1,1,0.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1502,2103,50,2,1,1.0,0
Casa,Rua Acapu,Marechal Hermes,1100,1147,56,2,1,0.0,0
Casa,Rua do Queimado,Bento Ribeiro,1132,1180,73,2,2,1.0,0
Casa,Rua Alfredo Pujol,Grajau,1114,1220,40,1,1,0.0,0
Apartamento,Rua Heráclito Graça,Lins de Vasconcelos,700,1111,74,2,1,1.0,0
Studio e kitnet,Rua dos Oitis,Gávea,2100,2212,30,1,1,0.0,0
Studio e kitnet,Rua Djalma Ulrich,Copacabana,2197,2824,32,1,1,0.0,1
Apartamento,Travessa Pepe,Botafogo,3839,4412,85,3,2,1.0,0
Apartamento,Rua Herveira,Curicica,1100,1208,40,2,1,0.0,0
Casa,Rua Angelina,Encantado,650,677,38,1,1,0.0,0
Apartamento,Rua Araújo Leitão,Engenho Novo,1250,1619,55,2,1,0.0,0
Studio e kitnet,Rua dos Oitis,Gávea,2250,2367,25,1,1,0.0,0
Apartamento,Rua Guarani,Quintino Bocaiúva,530,987,40,1,1,1.0,0
Apartamento,Rua Barra Bonita,Jacarepaguá,1900,2574,58,2,2,1.0,0
Apartamento,Rua General Polidoro,Botafogo,2739,3906,65,1,1,0.0,0
Apartamento,Rua Franz Liszt,Jardim America,650,675,50,1,1,0.0,0
Apartamento,Rua Santo Amaro,Glória,1500,1948,36,1,1,0.0,0
Apartamento,Rua Ubaldino do Amaral,Centro,1373,1921,31,1,1,0.0,1
Apartamento,Rua Dom Casmurro,Anil,1150,1194,52,1,1,0.0,0
Apartamento,Rua Cândido Gaffrée,Urca,3700,4722,85,2,2,0.0,0
Apartamento,Avenida Nossa Senhora de Copacabana,Copacabana,2392,3176,21,1,1,0.0,1
Apartamento,Rua Riachuelo,Centro,1700,2246,15,1,1,0.0,1
Apartamento,Rua Miguel Fernandes,Cachambi,850,1283,49,2,1,1.0,0
Studio e kitnet,Rua das Marrecas,Centro,707,1171,21,1,1,0.0,0
Apartamento,Rua Bambina,Botafogo,3329,5010,83,3,2,1.0,0
Casa,Rua da Abolição,Abolição,980,1022,45,1,1,0.0,0
Apartamento,Estrada dos Bandeirantes,Curicica,2100,3107,63,3,2,1.0,0
Apartamento,Rua República do Líbano,Centro,600,1149,15,0,1,0.0,0
Casa,Rua Ana Neri,Rocha,1150,1216,58,1,2,0.0,0
Apartamento,Rua Conselheiro Zenha,Tijuca,1551,2051,40,1,1,0.0,0
Apartamento,Rua Barão de Itambi,Botafogo,3550,4606,86,2,2,1.0,0
Casa,Rua Visconde de Itabaiana,Engenho Novo,1250,1296,70,2,2,0.0,0
Apartamento,Rua Maia Lacerda,Estácio,1497,1995,55,1,1,0.0,0
Apartamento,Avenida Brasil,Irajá,900,1201,44,2,1,1.0,0
Apartamento,Rua Engenheiro Thomaz Guimarães,Cachambi,1500,1708,79,3,1,0.0,0
Apartamento,Rua Fernandes Valdez,Higienópolis,993,1031,45,1,1,1.0,0
Apartamento,Rua General Caldwell,Centro,1400,1456,44,1,1,0.0,0
Studio e kitnet,Avenida Nossa Senhora de Copacabana,Copacabana,2302,3032,50,1,1,0.0,1
Apartamento,Rua Jorge Gonçalves de Araújo,Olaria,1100,1293,55,2,1,1.0,0
Casa em condomínio,Rua Silva Teles,Andaraí,1884,2055,59,2,1,0.0,0
Studio e kitnet,Rua São Clemente,Botafogo,2000,2575,24,1,1,0.0,0
Apartamento,Estrada do Cafundá,Taquara,700,1166,40,1,1,1.0,0
Apartamento,"Rua Mendes Taváres, 94 - Vila Isabel, Rio de Janeiro - Rj, Brasil",Vila Isabel,2073,2195,89,3,2,0.0,0
Apartamento,Rua Araújo Leitão,Engenho Novo,1195,2041,70,3,1,1.0,0
Apartamento,Rua Artur Orlando,Pechincha,1200,1407,43,2,1,1.0,0
Apartamento,Rua Uruguai,Tijuca,2200,2715,92,3,2,0.0,0
Apartamento,Rua Paula Freitas,Copacabana,2976,3516,45,1,2,0.0,1
Apartamento,Rua Carlos Xavier,Oswaldo Cruz,1300,1350,55,3,2,0.0,0
Apartamento,Rua dos Araújos,Tijuca,1800,2212,70,2,1,1.0,1
Casa,Rua da Abolição,Abolição,1010,1053,42,1,1,0.0,0
Casa,Rua Capitão Cruz,Cordovil,1144,1193,70,2,1,0.0,0
Casa,Rua Faria Braga 15 A,São Cristóvão,1100,1202,52,1,1,0.0,0
Apartamento,Rua Belisário Távora,Laranjeiras,3300,4787,86,2,2,1.0,0
Apartamento,R. Lins de Vasconcelos,Lins de Vasconcelos,750,1079,45,1,2,0.0,0
Apartamento,Rua Romero Zander,Ramos,857,965,40,1,1,1.0,0
